SR_WL,S2A_SR_AV_B1,S2A_SR_AV_B2,S2A_SR_AV_B3,S2A_SR_AV_B4,S2A_SR_AV_B5,S2A_SR_AV_B6,S2A_SR_AV_B7,S2A_SR_AV_B8,S2A_SR_AV_B8A,S2A_SR_AV_B9,S2A_SR_AV_B10,S2A_SR_AV_B11,S2A_SR_AV_B12,,,,,,,,
335,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
336,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
337,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
338,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
339,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
340,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
341,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
342,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
343,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
344,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
345,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
346,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
347,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
348,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
349,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
350,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
351,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
352,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
353,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
354,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
355,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
356,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
357,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
358,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
359,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
360,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
361,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
362,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
363,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
364,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
365,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
366,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
367,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
368,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
369,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
370,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
371,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
372,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
373,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
374,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
375,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
376,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
377,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
378,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
379,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
380,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
381,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
382,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
383,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
384,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
385,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
386,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
387,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
388,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
389,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
390,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
391,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
392,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
393,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
394,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
395,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
396,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
397,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
398,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
399,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
400,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
401,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
402,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
403,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
404,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
405,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
406,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
407,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
408,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
409,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
410,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
411,0.002080367,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
412,0.004005397,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
413,0.002700964,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
414,0.003958504,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
415,0.00360164,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
416,0.004676671,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
417,0.003217437,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
418,0.003558464,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
419,0.002462081,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
420,0.002013411,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
421,0.001226831,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
422,0.001659548,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
423,0.001679721,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
424,0.002412084,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
425,0.00203861,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
426,0.001785229,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
427,0.001896012,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
428,0.002528076,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
429,0.006303151,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
430,0.02691416,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
431,0.102547264,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
432,0.263908176,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
433,0.485549136,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
434,0.707761948,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
435,0.806636963,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
436,0.834304052,0.001937363,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
437,0.856671775,0.00187225,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
438,0.868062942,0.00185808,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
439,0.885345649,0.001781877,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
440,0.905541889,0.001731143,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
441,0.911122519,0.00168491,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
442,0.91496895,0.001647453,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
443,0.931311304,0.001659743,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
444,0.963565108,0.001591303,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
445,0.97333266,0.00151981,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
446,0.961511234,0.001447547,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
447,0.95004967,0.001417763,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
448,0.938163777,0.0013942,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
449,0.919971882,0.00138086,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
450,0.901349139,0.001388377,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
451,0.862579719,0.001437847,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
452,0.735548875,0.001708967,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
453,0.520904442,0.00308065,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
454,0.265714344,0.009294937,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
455,0.07047873,0.04187853,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
456,0.013360422,0.181863533,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
457,0.001074293,0.33607339,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
458,0.00048095,0.434195097,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
459,0.000344847,0.565447033,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
460,0.000291993,0.70249165,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
461,0.00026927,0.79350742,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
462,0.000259763,0.820288717,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
463,0.00025447,0.821300957,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
464,0.000237193,0.825572627,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
465,0.000220877,0.833460513,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
466,0.0002084,0.84688076,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
467,0.000208863,0.865005557,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
468,0.000213043,0.883052667,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
469,0.000212887,0.899713683,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
470,0.00020973,0.908341577,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
471,0.000201897,0.9077431,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
472,0.00018586,0.900353473,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
473,0.000167377,0.89209246,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
474,0.00014858,0.885038553,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
475,0,0.883026963,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
476,0,0.890139527,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
477,0,0.90074224,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
478,0,0.917227783,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
479,0,0.930133027,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
480,0,0.934893723,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
481,0,0.923427867,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
482,0,0.90762857,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
483,0,0.882388783,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
484,0,0.854389427,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
485,0,0.829604323,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
486,0,0.812165457,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
487,0,0.80410837,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
488,0,0.811759113,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
489,0,0.824455407,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
490,0,0.843351,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
491,0,0.86237921,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
492,0,0.888553793,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
493,0,0.914703333,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
494,0,0.938391447,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
495,0,0.948072777,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
496,0,0.952428813,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
497,0,0.95120935,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
498,0,0.946530847,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
499,0,0.94442466,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
500,0,0.947005847,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
501,0,0.950149787,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
502,0,0.956820323,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
503,0,0.963898643,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
504,0,0.96532527,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
505,0,0.958652713,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
506,0,0.946298347,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
507,0,0.929230927,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
508,0,0.90726999,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
509,0,0.886345597,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
510,0,0.870579113,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
511,0,0.86172359,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
512,0,0.86166142,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
513,0,0.87086767,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
514,0,0.885717793,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
515,0,0.90605481,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
516,0,0.932362547,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
517,0,0.962474167,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
518,0,0.985751807,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
519,0,0.990519443,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
520,0,0.959771383,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
521,0,0.86298691,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
522,0,0.7040774,0.00002719,0,0,0,0,0,0,0,0,0,0,,,,,,,,
523,0,0.527644957,0.000222137,0,0,0,0,0,0,0,0,0,0,,,,,,,,
524,0,0.355172,0.000239657,0,0,0,0,0,0,0,0,0,0,,,,,,,,
525,0,0.218517557,0.000277923,0,0,0,0,0,0,0,0,0,0,,,,,,,,
526,0,0.12808268,0.000337703,0,0,0,0,0,0,0,0,0,0,,,,,,,,
527,0,0.076666867,0.000356887,0,0,0,0,0,0,0,0,0,0,,,,,,,,
528,0,0.0481662,0.000344087,0,0,0,0,0,0,0,0,0,0,,,,,,,,
529,0,0.03188589,0.000350183,0,0,0,0,0,0,0,0,0,0,,,,,,,,
530,0,0.02030277,0.00036895,0,0,0,0,0,0,0,0,0,0,,,,,,,,
531,0,0.01044013,0.000403037,0,0,0,0,0,0,0,0,0,0,,,,,,,,
532,0,0.00293685,0.00042027,0,0,0,0,0,0,0,0,0,0,,,,,,,,
533,0,0.00079579,0.00041628,0,0,0,0,0,0,0,0,0,0,,,,,,,,
534,0,0.000508667,0.00041641,0,0,0,0,0,0,0,0,0,0,,,,,,,,
535,0,0.000503553,0.000434473,0,0,0,0,0,0,0,0,0,0,,,,,,,,
536,0,0.00050186,0.00111671,0,0,0,0,0,0,0,0,0,0,,,,,,,,
537,0,0.00050531,0.005780193,0,0,0,0,0,0,0,0,0,0,,,,,,,,
538,0,0.000502597,0.01800139,0,0,0,0,0,0,0,0,0,0,,,,,,,,
539,0,0.000489783,0.040206137,0,0,0,0,0,0,0,0,0,0,,,,,,,,
540,0,0.00047848,0.085118927,0,0,0,0,0,0,0,0,0,0,,,,,,,,
541,0,0.000462463,0.17633336,0,0,0,0,0,0,0,0,0,0,,,,,,,,
542,0,0.000455163,0.3600443,0,0,0,0,0,0,0,0,0,0,,,,,,,,
543,0,0.000241057,0.63727934,0,0,0,0,0,0,0,0,0,0,,,,,,,,
544,0,0,0.84652531,0,0,0,0,0,0,0,0,0,0,,,,,,,,
545,0,0,0.918222463,0,0,0,0,0,0,0,0,0,0,,,,,,,,
546,0,0,0.938483227,0,0,0,0,0,0,0,0,0,0,,,,,,,,
547,0,0,0.94558546,0,0,0,0,0,0,0,0,0,0,,,,,,,,
548,0,0,0.93856994,0,0,0,0,0,0,0,0,0,0,,,,,,,,
549,0,0,0.924016327,0,0,0,0,0,0,0,0,0,0,,,,,,,,
550,0,0,0.908465567,0,0,0,0,0,0,0,0,0,0,,,,,,,,
551,0,0,0.897241023,0,0,0,0,0,0,0,0,0,0,,,,,,,,
552,0,0,0.89175923,0,0,0,0,0,0,0,0,0,0,,,,,,,,
553,0,0,0.895315863,0,0,0,0,0,0,0,0,0,0,,,,,,,,
554,0,0,0.9070481,0,0,0,0,0,0,0,0,0,0,,,,,,,,
555,0,0,0.92404547,0,0,0,0,0,0,0,0,0,0,,,,,,,,
556,0,0,0.943766217,0,0,0,0,0,0,0,0,0,0,,,,,,,,
557,0,0,0.965647293,0,0,0,0,0,0,0,0,0,0,,,,,,,,
558,0,0,0.98168662,0,0,0,0,0,0,0,0,0,0,,,,,,,,
559,0,0,0.990954547,0,0,0,0,0,0,0,0,0,0,,,,,,,,
560,0,0,0.992402793,0,0,0,0,0,0,0,0,0,0,,,,,,,,
561,0,0,0.983870847,0,0,0,0,0,0,0,0,0,0,,,,,,,,
562,0,0,0.96580285,0,0,0,0,0,0,0,0,0,0,,,,,,,,
563,0,0,0.936835367,0,0,0,0,0,0,0,0,0,0,,,,,,,,
564,0,0,0.907487523,0,0,0,0,0,0,0,0,0,0,,,,,,,,
565,0,0,0.882421207,0,0,0,0,0,0,0,0,0,0,,,,,,,,
566,0,0,0.864120173,0,0,0,0,0,0,0,0,0,0,,,,,,,,
567,0,0,0.849239767,0,0,0,0,0,0,0,0,0,0,,,,,,,,
568,0,0,0.838662027,0,0,0,0,0,0,0,0,0,0,,,,,,,,
569,0,0,0.83596373,0,0,0,0,0,0,0,0,0,0,,,,,,,,
570,0,0,0.844143543,0,0,0,0,0,0,0,0,0,0,,,,,,,,
571,0,0,0.858058143,0,0,0,0,0,0,0,0,0,0,,,,,,,,
572,0,0,0.871509593,0,0,0,0,0,0,0,0,0,0,,,,,,,,
573,0,0,0.878330493,0,0,0,0,0,0,0,0,0,0,,,,,,,,
574,0,0,0.88015919,0,0,0,0,0,0,0,0,0,0,,,,,,,,
575,0,0,0.867542573,0,0,0,0,0,0,0,0,0,0,,,,,,,,
576,0,0,0.809282213,0,0,0,0,0,0,0,0,0,0,,,,,,,,
577,0,0,0.661869643,0,0,0,0,0,0,0,0,0,0,,,,,,,,
578,0,0,0.41814474,0,0,0,0,0,0,0,0,0,0,,,,,,,,
579,0,0,0.19853199,0,0,0,0,0,0,0,0,0,0,,,,,,,,
580,0,0,0.082526153,0,0,0,0,0,0,0,0,0,0,,,,,,,,
581,0,0,0.033670733,0,0,0,0,0,0,0,0,0,0,,,,,,,,
582,0,0,0.011374233,0,0,0,0,0,0,0,0,0,0,,,,,,,,
583,0,0,0.001958217,0,0,0,0,0,0,0,0,0,0,,,,,,,,
584,0,0,0.000928347,0,0,0,0,0,0,0,0,0,0,,,,,,,,
585,0,0,0.000639057,0,0,0,0,0,0,0,0,0,0,,,,,,,,
586,0,0,0.000484807,0,0,0,0,0,0,0,0,0,0,,,,,,,,
587,0,0,0.000401343,0,0,0,0,0,0,0,0,0,0,,,,,,,,
588,0,0,0.00035564,0,0,0,0,0,0,0,0,0,0,,,,,,,,
589,0,0,0.00034313,0,0,0,0,0,0,0,0,0,0,,,,,,,,
590,0,0,0.00035462,0,0,0,0,0,0,0,0,0,0,,,,,,,,
591,0,0,0.000381143,0,0,0,0,0,0,0,0,0,0,,,,,,,,
592,0,0,0.000401153,0,0,0,0,0,0,0,0,0,0,,,,,,,,
593,0,0,0.000385353,0,0,0,0,0,0,0,0,0,0,,,,,,,,
594,0,0,0.000327363,0,0,0,0,0,0,0,0,0,0,,,,,,,,
595,0,0,0.00026238,0,0,0,0,0,0,0,0,0,0,,,,,,,,
596,0,0,0.000215657,0,0,0,0,0,0,0,0,0,0,,,,,,,,
597,0,0,0.000187187,0,0,0,0,0,0,0,0,0,0,,,,,,,,
598,0,0,0.000170973,0,0,0,0,0,0,0,0,0,0,,,,,,,,
599,0,0,0.000170847,0,0,0,0,0,0,0,0,0,0,,,,,,,,
600,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
601,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
602,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
603,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
604,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
605,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
606,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
607,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
608,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
609,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
610,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
611,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
612,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
613,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
614,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
615,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
616,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
617,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
618,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
619,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
620,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
621,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
622,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
623,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
624,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
625,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
626,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
627,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
628,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
629,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
630,0,0,0,0.00024165,0,0,0,0,0,0,0,0,0,,,,,,,,
631,0,0,0,0.00022651,0,0,0,0,0,0,0,0,0,,,,,,,,
632,0,0,0,0.000185443,0,0,0,0,0,0,0,0,0,,,,,,,,
633,0,0,0,0.000148177,0,0,0,0,0,0,0,0,0,,,,,,,,
634,0,0,0,0.000129327,0,0,0,0,0,0,0,0,0,,,,,,,,
635,0,0,0,0.000120993,0,0,0,0,0,0,0,0,0,,,,,,,,
636,0,0,0,0.000120503,0,0,0,0,0,0,0,0,0,,,,,,,,
637,0,0,0,0.000123167,0,0,0,0,0,0,0,0,0,,,,,,,,
638,0,0,0,0.000130617,0,0,0,0,0,0,0,0,0,,,,,,,,
639,0,0,0,0.000145757,0,0,0,0,0,0,0,0,0,,,,,,,,
640,0,0,0,0.000165307,0,0,0,0,0,0,0,0,0,,,,,,,,
641,0,0,0,0.000197977,0,0,0,0,0,0,0,0,0,,,,,,,,
642,0,0,0,0.00025357,0,0,0,0,0,0,0,0,0,,,,,,,,
643,0,0,0,0.000349923,0,0,0,0,0,0,0,0,0,,,,,,,,
644,0,0,0,0.00052541,0,0,0,0,0,0,0,0,0,,,,,,,,
645,0,0,0,0.00082872,0,0,0,0,0,0,0,0,0,,,,,,,,
646,0,0,0,0.003628337,0,0,0,0,0,0,0,0,0,,,,,,,,
647,0,0,0,0.020625443,0,0,0,0,0,0,0,0,0,,,,,,,,
